database_name,ENV,CLIENT,periods,periods_count,periods_inactive,periods_inactive_run,measures,measure_count,inactive_measures,inactive_measures_run,max_run,entry_timestamp,updated_timestamp
CCCN_WAREHOUSE_QA,QA,CCCN, Mo 16; Q 16; TOTAL; TY 16; Wk 16; Yr 16, 1; 1; 5; 1; 1; 1, Mo 14; Mo 15; Q 14; Q 15; TY 15; Wk 14; Wk 15; Yr 13; Yr 14; Yr 15, 2016-01-30; 2016-01-31; 2016-01-30; 2016-01-31; 2016-01-31; 2016-01-30; 2016-01-31; 2016-01-30; 2016-01-30; 2016-01-30, 1TOTAL MEASURES; HEDIS; HEDIS 2016; P4P 2014; P4P 2015, 36; 11; 1; 12; 12, ACO; ACO 2015; IPP/ACQA; MU CQM; MU S1; MU S2; PCMH; UDS, 2016-01-31; 2016-02-01; 2016-01-31; 2016-01-31; 2016-01-31; 2016-01-31; 2016-01-31; 2016-01-31,2016-02-08,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
CCCN_WAREHOUSE_UAT,UAT,CCCN, Mo 14; Mo 15; Mo 16; Q 14; Q 15; Q 16; TOTAL; TY 15; TY 16; Wk 15; Wk 16; Yr 14; Yr 15; Yr 16, 12; 12; 1; 4; 4; 1; 73; 7; 1; 27; 1; 1; 1; 1,,, 1TOTAL MEASURES; HEDIS; HEDIS 2016; IPP/ACQA; P4P 2014; P4P 2015, 48; 20; 2; 1; 13; 12,,,2016-02-08,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
CHPW_WAREHOUSE_DEV,DEV,CHPW, Mo 16; Q 14; Q 15; Q 16; TOTAL; TY 16; Wk 16; Yr 14; Yr 16, 1; 3; 4; 1; 13; 1; 1; 1; 1, Mo 14; Mo 15; TY 15; Wk 14; Wk 15; Yr 13; Yr 15, 2015-12-27; 2016-01-20; 2016-01-14; 2015-12-27; 2016-01-02; 2015-12-27; 2016-01-20, 1TOTAL MEASURES; P4P 2014; P4P 2015; UDS, 39; 12; 12; 15, ACO; HEDIS; IPP/ACQA; MU CQM; MU S1; MU S2; PCMH, 2015-12-28; 2015-12-28; 2015-12-28; 2015-12-28; 2015-11-10; 2015-12-28; 2015-11-10,2016-02-04,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
CHPW_WAREHOUSE_PRD,PRD,CHPW, Mo 16; Q 14; Q 15; Q 16; TOTAL; TY 16; Wk 16; Yr 14; Yr 16, 1; 3; 4; 1; 13; 1; 1; 1; 1, Mo 14; Mo 15; TY 15; Wk 15; Yr 13; Yr 15, 2015-11-29; 2015-12-31; 2015-12-31; 2015-12-31; 2016-01-12; 2015-12-31, 1TOTAL MEASURES; P4P 2014; P4P 2015; UDS, 39; 12; 12; 15, ACO; HEDIS; IPP/ACQA; MU CQM; MU S1; MU S2; PCMH, 2015-11-29; 2015-11-29; 2015-11-29; 2015-11-29; 2015-02-10; 2015-02-10; 2015-02-10,2016-02-06,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
CHPW_WAREHOUSE_QA,QA,CHPW, Mo 16; Q 14; Q 15; Q 16; TOTAL; TY 16; Wk 16; Yr 14; Yr 16, 1; 3; 4; 1; 13; 1; 1; 1; 1, Mo 14; Mo 15; TY 15; Wk 14; Wk 15; Yr 13; Yr 15, 2015-11-18; 2015-12-17; 2015-12-17; 2015-11-18; 2015-12-17; 2015-12-11; 2015-12-17, 1TOTAL MEASURES; P4P 2014; P4P 2015; UDS, 39; 12; 12; 15, ACO; HEDIS; IPP/ACQA; MU CQM; MU S1; MU S2; PCMH, 2015-11-23; 2015-11-23; 2015-11-23; 2015-11-23; 2015-11-23; 2015-11-23; 2015-11-23,2016-02-01,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
CHPW_WAREHOUSE_UAT,UAT,CHPW, Mo 16; Q 14; Q 15; Q 16; TOTAL; TY 16; Wk 16; Yr 14; Yr 16, 1; 3; 4; 1; 13; 1; 1; 1; 1, Mo 14; Mo 15; TY 15; Wk 14; Wk 15; Yr 13; Yr 15, 2015-12-01; 2016-01-12; 2016-01-12; 2015-12-01; 2015-12-20; 2015-12-21; 2016-01-12, 1TOTAL MEASURES; P4P 2014; P4P 2015; UDS, 39; 12; 12; 15, ACO; HEDIS; IPP/ACQA; MU CQM; MU S1; MU S2; PCMH, 2015-12-02; 2015-12-02; 2015-12-02; 2015-12-02; 2015-12-02; 2015-12-02; 2015-12-02,2016-02-04,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
FHN_WAREHOUSE_DEV,DEV,FHN, Mo 14; Mo 15; Q 15; TOTAL; TY 15; Wk 15; Yr 14; Yr 15, 2; 10; 4; 20; 1; 1; 1; 1, Q 14; Wk 14; Yr 13, 2015-09-25; 2015-07-11; 2015-07-24, 1TOTAL MEASURES; ACO; HEDIS; MU CQM; MU S1; MU S2; PCMH; UDS, 124; 25; 21; 22; 2; 15; 25; 14, IPP/ACQA, 2015-07-11,2015-10-19,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
FHN_WAREHOUSE_PRD,PRD,FHN, Mo 15; Mo 16; Q 15; Q 16; TOTAL; TY 16; Wk 16; Yr 14; Yr 15; Yr 16, 11; 1; 4; 1; 22; 1; 1; 1; 1; 1, Mo 14; Q 14; TY 15; Wk 14; Wk 15; Yr 13, 2016-02-07; 2016-02-07; 2016-02-07; 2016-02-07; 2016-02-07; 2016-02-06, 1TOTAL MEASURES; ACO; HEDIS; MU CQM; MU S1; MU S2; PCMH; UDS, 143; 25; 39; 22; 2; 15; 25; 15, IPP/ACQA, 2016-01-30,2016-02-08,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
FHN_WAREHOUSE_QA,QA,FHN, Mo 15; Mo 16; Q 15; Q 16; TOTAL; TY 16; Wk 16; Yr 15; Yr 16, 11; 2; 3; 1; 22; 2; 1; 1; 1, Mo 14; Q 14; TY 15; Wk 15; Yr 13; Yr 14, 2016-01-30; 2016-01-30; 2016-01-31; 2016-01-31; 2016-01-30; 2016-01-30, 1TOTAL MEASURES; ACO; HEDIS; MU CQM; MU S1; MU S2; PCMH; UDS, 143; 25; 39; 22; 2; 15; 25; 15, IPP/ACQA, 2016-01-31,2016-02-08,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
FHN_WAREHOUSE_UAT,UAT,FHN, Mo 14; Mo 15; Q 14; Q 15; TOTAL; TY 15; Wk 15; Yr 14; Yr 15, 3; 9; 1; 3; 20; 1; 1; 1; 1, Yr 13, 2015-08-09, 1TOTAL MEASURES; ACO; HEDIS; MU CQM; MU S1; MU S2; PCMH; UDS, 122; 25; 19; 22; 2; 15; 25; 14,,,2015-09-24,2016-02-08 23:33:01.833,2016-02-08 23:33:01.833
