name,type,start_time,end_date,job_complete,run_days,run_hours,run_minutes,last_step_name,last_step_id,last_step_date,ENV,CLIENT,entry_timestamp,updated_timestamp
LHCQF Nightly Job DEV,job duration,2015-12-18 15:58:53.000,,0,0,22,34,Patient/Enc Scrub,8,2015-12-19 07:39:44.000,DEV,LHCQF,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
ARCAS Nightly Job DEV,job duration,2015-12-19 03:19:18.000,2015-12-19 09:38:49.000,1,0,6,19,Load Event,30,2015-12-19 08:51:15.000,DEV,ARCAS,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
SLVTN Nightly Job DEV,job duration,2015-12-18 16:44:42.000,2015-12-19 02:54:52.000,1,0,10,10,Check Cutoff Time,17,2015-12-19 02:54:51.000,DEV,SLVTN,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
CCCN Nightly Job DEV,job duration,2015-12-18 09:03:41.000,2015-12-18 14:47:58.000,1,0,5,44,Check Cutoff Time,17,2015-12-18 14:47:58.000,DEV,CCCN,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
CHPW Nightly Job DEV,job duration,2015-12-18 23:00:01.000,,0,0,15,32,Load Result,13,2015-12-19 02:51:43.000,DEV,CHPW,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
ACP Nightly Job DEV,job duration,2015-12-17 09:10:49.000,2015-12-17 21:40:57.000,1,0,12,30,Check Cutoff Time,17,2015-12-17 21:40:57.000,DEV,ACP,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
AHP Nightly Job DEV,job duration,2015-12-13 16:48:51.000,2015-12-14 02:00:56.000,1,0,9,12,Update Patient List Persons,44,2015-12-14 02:00:50.000,DEV,AHP,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
AHP Nightly Job QA,job duration,2015-12-19 02:00:00.000,2015-12-19 08:26:51.000,1,0,6,26,Check Cutoff Time,17,2015-12-19 08:26:51.000,QA,AHP,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
CCCN Nightly Job QA,job duration,2015-12-19 02:00:00.000,2015-12-19 07:41:30.000,1,0,5,41,Check Cutoff Time,17,2015-12-19 07:41:29.000,QA,CCCN,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
BIDCO Nightly Job QA,job duration,2015-12-19 04:00:00.000,2015-12-19 11:14:42.000,1,0,7,14,Load Result,13,2015-12-19 10:55:48.000,QA,BIDCO,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
LHCQF Nightly Job QA,job duration,2015-12-19 04:00:00.000,2015-12-19 08:45:14.000,1,0,4,45,Report job errors,49,2015-12-19 08:45:14.000,QA,LHCQF,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
SLVTN Nightly Job QA,job duration,2015-12-18 21:00:00.000,2015-12-19 03:32:05.000,1,0,6,32,Report job errors,51,2015-12-19 03:32:04.000,QA,SLVTN,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
VCA Nightly Job QA,job duration,2015-12-19 04:00:00.000,2015-12-19 05:01:07.000,1,0,1,1,Report job errors,51,2015-12-19 05:01:06.000,QA,VCA,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
CHPW Nightly Job QA,job duration,2015-12-19 02:00:00.000,,0,0,12,32,Load Result,13,2015-12-19 12:28:47.000,QA,CHPW,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
UCF Nightly Job QA,job duration,2015-12-16 17:56:55.000,2015-12-16 18:56:01.000,1,0,1,0,Report job errors,45,2015-12-16 18:56:01.000,QA,UCF,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
FHN Nightly Job QA,job duration,2015-12-19 02:30:00.000,,0,0,12,2,Deleted Person and Patient,42,2015-12-19 08:40:50.000,QA,FHN,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
XCLS Nightly Job UAT,job duration,2015-12-19 01:00:00.000,2015-12-19 05:39:57.000,1,0,4,39,Check Cutoff Time,18,2015-12-19 05:39:57.000,UAT,XCLS,2015-12-19 14:21:01.800,2015-12-19 14:21:01.800
CHPW Nightly Job UAT,job duration,2015-12-19 01:00:00.000,,0,0,13,32,Informatica Load,2,2015-12-19 01:00:08.000,UAT,CHPW,2015-12-19 14:21:01.800,2015-12-19 14:21:01.800
LHCQF Nightly Job UAT,job duration,2015-12-19 02:00:00.000,2015-12-19 04:43:15.000,1,0,2,43,Report job errors,49,2015-12-19 04:43:14.000,UAT,LHCQF,2015-12-19 14:21:01.800,2015-12-19 14:21:01.800
