id,modify_timestamp,database_name,orig_id,orig_table,type,value1,value2,value3,value4,value5,value6,value7,date_value,client,env,create_timestamp,entry_timestamp,updated_timestamp
13253,2016-02-11 10:08:12.240000000,BIDCO Nightly Job PRD,,job duration history,Failed,15:36:12,153612,2016-02-09,2,,,,,BIDCO,PRD,2016-02-11 10:08:12.240000000,2016-02-10 07:01:20.433000000,2016-02-10 07:01:20.433000000
13254,2016-02-11 10:08:12.240000000,BIDCO Nightly Job PRD,,job duration history,Success,03:45:03,34503,2016-02-08,3,,,,,BIDCO,PRD,2016-02-11 10:08:12.240000000,2016-02-08 15:00:40.520000000,2016-02-08 15:00:40.520000000
13255,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,05:38:16,53816,2016-02-11,1,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-11 07:01:36.727000000,2016-02-11 07:01:36.727000000
13256,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,05:59:05,55905,2016-02-10,2,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-10 07:01:20.433000000,2016-02-10 07:01:20.433000000
13257,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,05:37:37,53737,2016-02-09,3,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-09 07:02:31.323000000,2016-02-09 07:02:31.323000000
13258,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,05:08:02,50802,2016-02-08,4,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-08 07:00:45.367000000,2016-02-08 07:00:45.367000000
13259,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,06:02:21,60221,2016-02-07,5,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-07 08:00:28.313000000,2016-02-07 08:00:28.313000000
13260,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,09:07:12,90712,2016-02-06,6,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-06 11:01:14.810000000,2016-02-06 11:01:14.810000000
13261,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,07:26:33,72633,2016-02-05,7,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-05 09:00:58.047000000,2016-02-05 09:00:58.047000000
13262,2016-02-11 10:08:12.240000000,ACP Nightly Job PRD,,job duration history,Success,06:45:03,64503,2016-02-04,8,,,,,ACP,PRD,2016-02-11 10:08:12.240000000,2016-02-04 08:00:30.470000000,2016-02-04 08:00:30.470000000
