database_name,config_value,modify_timestamp,end_date,n_rank,ENV,CLIENT,update_timestamp
AHP_WAREHOUSE_DEV,v4.7.1,2015-08-05,2015-08-26,-2,DEV,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_DEV,v4.7.4,2015-08-26,2015-09-24,1,DEV,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_DEV,v4.7.7,2015-09-24,2015-10-02,4,DEV,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_DEV,v4.7.8,2015-10-02,2015-11-19,5,DEV,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_PRD,v4.6.4,2015-07-07,2015-10-08,1,PRD,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_PRD,v4.7.8,2015-10-08,2015-11-19,5,PRD,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_QA,v4.7.0-rc.10,2015-07-29,2015-08-11,-3,QA,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_QA,v4.7.1,2015-08-11,2015-08-27,-2,QA,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_QA,v4.7.4,2015-08-27,2015-09-25,1,QA,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_QA,v4.7.7,2015-09-25,2015-10-07,4,QA,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_QA,v4.7.8,2015-10-07,2015-11-03,5,QA,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_QA,v4.9.0-rc.1,2015-11-03,2015-11-12,0,QA,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_QA,v4.9.0-rc.3,2015-11-12,2015-11-19,1,QA,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_UAT,v4.6.4-rc.5,2015-06-25,2015-09-08,0,UAT,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_UAT,v4.7.4,2015-09-08,2015-09-29,1,UAT,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_UAT,v4.7.7,2015-09-29,2015-10-13,4,UAT,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_UAT,v4.7.8,2015-10-13,2015-11-17,5,UAT,AHP,2015-11-19 11:33:25.750
AHP_WAREHOUSE_UAT,v4.9.0-rc.3,2015-11-17,2015-11-19,1,UAT,AHP,2015-11-19 11:33:25.750
BIDCO_WAREHOUSE_DEV,v4.5.7-rc.1,2015-03-13,2015-09-16,2,DEV,BIDCO,2015-11-19 11:33:25.750
BIDCO_WAREHOUSE_DEV,v4.7.6,2015-09-16,2015-09-25,3,DEV,BIDCO,2015-11-19 11:33:25.750
BIDCO_WAREHOUSE_DEV,v4.7.7,2015-09-25,2015-10-19,4,DEV,BIDCO,2015-11-19 11:33:25.750
