town,pop2010,b,k,mcd,p,t,we,Total,ff_per_pop,obese1,obese2,obese3,avg_obese,ff_per_cap_rank,obesity_rank,avg_ma_obese,per_cap_income
AYER,7427,0,1,1,0,0,1,3,0.403931600915578,0.35275081,0.17633333,0.5,0.343028047,4,1,0.244,33092
ROCKLAND,17489,2,0,1,0,0,0,3,0.171536394304992,0.36162473,0.201,0.4171,0.32657491,46,2,0.244,30051
WHITMAN,14489,1,0,0,0,0,1,2,0.138035751259576,0.36162473,0.201,0.408,0.323541577,63,3,0.244,32541
BROCKTON,93810,1,3,4,1,3,2,14,0.149237821127812,0.36162473,0.201,0.39975,0.320791577,57,4,0.244,21942
MIDDLEBOROUGH,23116,1,0,1,0,0,0,2,0.0865201591970929,0.36162473,0.201,0.385,0.31587491,109,5,0.244,31719
LAWRENCE,76377,0,1,2,0,1,2,6,0.0785576809772576,0.35086038,0.187,0.40963333,0.315831237,117,6,0.244,16987
EAST BRIDGEWATER,13794,0,0,0,0,0,0,0,0,0.36162473,0.201,0.3806,0.314408243,0,7,0.244,35360
AVON,4356,0,0,0,0,0,0,0,0,0.36162473,0.1775,0.3865,0.308541577,0,8,0.244,33005
BRIDGEWATER,26563,3,1,1,0,0,0,5,0.188231750931747,0.36162473,0.2165,0.3416,0.30657491,39,9,0.244,32991
PLYMPTON,2820,0,0,0,0,0,0,0,0,0.36162473,0.201,0.3558,0.306141577,0,10,0.244,38629
HANSON,10209,0,0,1,0,0,0,1,0.0979527867567832,0.36162473,0.201,0.3555,0.306041577,98,11,0.244,33337
LAKEVILLE,10602,0,0,0,0,0,0,0,0,0.36162473,0.2165,0.3396,0.305908243,0,12,0.244,35711
DRACUT,29457,0,0,1,0,0,1,2,0.0678955766031843,0.35086038,0.171,0.3919,0.304586793,124,13,0.244,32690
WAREHAM,21822,1,1,0,0,1,1,4,0.183301255613601,0.33785311,0.201,0.374,0.30428437,41,14,0.244,29740
HALIFAX,7518,0,0,0,0,0,0,0,0,0.36162473,0.201,0.3502,0.30427491,0,15,0.244,33177
CARVER,11509,0,0,1,0,0,0,1,0.0868885220262403,0.36162473,0.201,0.34465,0.30242491,108,16,0.244,30918
GARDNER,20228,1,1,1,0,1,1,5,0.247182123788808,0.35275081,0.219,0.3333,0.301683603,20,17,0.244,23327
ABINGTON,15985,0,0,0,0,0,1,1,0.0625586487331874,0.36162473,0.201,0.342,0.301541577,130,18,0.244,34567
METHUEN,47255,2,1,3,1,1,2,10,0.211617818220294,0.35086038,0.187,0.3654,0.301086793,32,19,0.244,30520
EASTON,23112,1,0,1,0,0,1,3,0.129802699896158,0.36162473,0.22425,0.3113,0.299058243,67,20,0.244,38522
KINGSTON,12629,1,1,2,0,1,0,5,0.395914165808853,0.36162473,0.201,0.3324,0.298341577,5,21,0.244,37330
BILLERICA,40243,0,1,2,0,1,1,5,0.124245210347141,0.35086038,0.155,0.38825,0.298036793,75,22,0.244,34545
PEPPERELL,11497,0,0,0,0,0,0,0,0,0.35275081,0.155,0.3857,0.297816937,0,23,0.244,35689
SPRINGFIELD,153060,3,3,10,0,3,4,23,0.150267868809617,0.37837838,0.217,0,0.29768919,55,24,0.244,18133
LONGMEADOW,15784,0,0,0,0,0,0,0,0,0.37837838,0.217,0,0.29768919,0,25,0.244,53767
BLACKSTONE,9026,0,0,0,0,0,0,0,0,0.27577536,0.1865,0.4246,0.29562512,0,26,0.244,32488
WEST BRIDGEWATER,6916,0,0,1,0,0,1,2,0.289184499710816,0.36162473,0.201,0.3227,0.295108243,13,27,0.244,32725
PEMBROKE,17837,1,0,0,0,0,0,1,0.0560632393339687,0.36162473,0.201,0.3166,0.29307491,138,28,0.244,36916
HANOVER,13879,1,0,2,0,0,0,3,0.216153901577923,0.36162473,0.201,0.3157,0.29277491,31,29,0.244,41219
HOLBROOK,10791,1,0,0,0,0,0,1,0.0926698174404596,0.36162473,0.154,0.3624,0.29267491,102,30,0.244,33343
TEWKSBURY,28961,2,0,2,0,0,1,5,0.172645972169469,0.35086038,0.155,0.3677,0.291186793,45,31,0.244,39675
PLYMOUTH,56468,1,0,3,0,0,0,4,0.0708365800099171,0.36162473,0.1755,0.3362,0.291108243,121,32,0.244,35369
HOPEDALE,5911,0,0,0,0,0,0,0,0,0.25391395,0.219,0.4,0.290971317,0,33,0.244,38747
HAVERHILL,60879,1,0,3,1,1,2,8,0.131408203157082,0.35086038,0.187,0.331675,0.289845127,65,34,0.244,29778
LEOMINSTER,40759,2,1,3,1,1,1,9,0.22081012782453,0.35275081,0.219,0.2971,0.289616937,27,35,0.244,29392
LOWELL,106519,2,1,3,1,1,3,11,0.103267961584318,0.35086038,0.155,0.3598,0.28855346,93,36,0.244,23136
NEW BEDFORD,95072,2,2,4,0,0,1,9,0.0946650959272972,0.3431127,0.232,0,0.28755635,100,37,0.244,21056
FALL RIVER,88857,3,1,4,0,1,2,11,0.123794411245034,0.3431127,0.232,0,0.28755635,76,38,0.244,21257
TAUNTON,55874,2,1,1,0,1,2,7,0.125281884239539,0.3431127,0.232,0,0.28755635,72,39,0.244,26446
NORTON,19031,0,0,1,0,0,0,1,0.0525458462508539,0.3431127,0.232,0,0.28755635,139,40,0.244,32414
SOMERSET,18165,1,1,0,1,0,1,4,0.220203688411781,0.3431127,0.232,0,0.28755635,29,41,0.244,31585
SEEKONK,13722,1,0,1,0,1,1,4,0.291502696399942,0.3431127,0.232,0,0.28755635,12,42,0.244,34580
FAIRHAVEN,15873,1,0,1,1,1,0,4,0.252000252000252,0.3431127,0.232,0,0.28755635,19,43,0.244,30381
SWANSEA,15865,1,0,3,0,0,1,5,0.315159155373464,0.3431127,0.232,0,0.28755635,10,44,0.244,33067
ATTLEBORO,43593,1,1,3,0,1,1,7,0.160576239304475,0.3431127,0.232,0,0.28755635,50,45,0.244,30978
DARTMOUTH,34032,1,0,4,0,1,1,7,0.20568876351669,0.3431127,0.232,0,0.28755635,34,46,0.244,30049
DIGHTON,7086,0,0,0,0,0,0,0,0,0.3431127,0.232,0,0.28755635,0,47,0.244,34827
BERKLEY,6411,0,0,0,0,0,0,0,0,0.3431127,0.232,0,0.28755635,0,48,0.244,33189
ACUSHNET,10303,0,0,0,0,0,0,0,0,0.3431127,0.232,0,0.28755635,0,49,0.244,31477
REHOBOTH,11608,0,0,0,0,0,0,0,0,0.3431127,0.232,0,0.28755635,0,50,0.244,36959
WESTPORT,15532,0,0,0,0,0,0,0,0,0.3431127,0.232,0,0.28755635,0,51,0.244,35249
LITTLETON,8924,0,0,0,0,0,0,0,0,0.35275081,0.155,0.3539,0.287216937,0,52,0.244,47502
HULL,10293,0,0,0,0,0,0,0,0,0.27791714,0.201,0.3794,0.286105713,0,53,0.244,41064
HUBBARDSTON,4382,0,0,0,0,0,0,0,0,0.35275081,0.219,0,0.285875405,0,54,0.244,33730
ASHBURNHAM,6081,0,0,0,0,0,0,0,0,0.35275081,0.219,0,0.285875405,0,55,0.244,34454
WINCHENDON,10300,0,0,1,0,0,0,1,0.0970873786407767,0.35275081,0.219,0,0.285875405,99,56,0.244,27204
TEMPLETON,8013,0,0,0,0,0,0,0,0,0.35275081,0.219,0,0.285875405,0,57,0.244,27657
WESTMINSTER,7277,0,0,0,0,0,0,0,0,0.35275081,0.219,0,0.285875405,0,58,0.244,34860
RANDOLPH,32112,1,0,1,1,0,1,4,0.124564025909317,0.36162473,0.154,0.3387,0.28477491,74,59,0.244,28172
EDGARTOWN,4067,0,0,0,0,0,0,0,0,0.33785311,0.099,0.4117,0.282851037,0,60,0.244,38588
CLINTON,13606,0,1,1,0,1,0,3,0.220490959870645,0.27577536,0.219,0.3488,0.281191787,28,61,0.244,31765
