type,dimension,category,Plasmotropin,Crudaxil,Xanastin,Spamoprofin
Midwest,Location,Aware,3.36,4.88,4.56,2.52
Midwest,Location,Efficacy,4.24,4.92,4.08,3.96
Midwest,Location,Insurance,4.40,4.64,4.40,4.52
Midwest,Location,Safety,4.80,4.04,3.76,3.88
Northeast,Location,Aware,3.22,5.78,5.78,2.33
Northeast,Location,Efficacy,4.56,4.56,6.00,4.56
Northeast,Location,Insurance,4.33,4.89,4.44,4.44
Northeast,Location,Safety,4.11,4.00,2.89,5.44
South,Location,Aware,2.67,6.00,5.42,2.88
South,Location,Efficacy,3.88,4.83,3.67,4.67
South,Location,Insurance,3.46,5.00,3.83,3.46
South,Location,Safety,3.75,3.46,4.38,3.96
Southwest,Location,Aware,3.64,5.55,5.27,1.45
Southwest,Location,Efficacy,3.45,5.09,4.36,3.64
Southwest,Location,Insurance,4.36,3.91,5.27,4.09
Southwest,Location,Safety,5.27,3.18,4.55,4.55
West,Location,Aware,3.08,5.08,5.08,2.75
West,Location,Efficacy,3.33,4.17,3.25,4.25
West,Location,Insurance,3.00,5.75,5.25,3.25
West,Location,Safety,5.08,4.33,3.83,4.00
0-5,Number of Years,Aware,1.33,4.33,4.67,3.67
0-5,Number of Years,Efficacy,5.00,2.67,5.33,3.67
0-5,Number of Years,Insurance,1.33,5.67,5.33,4.33
0-5,Number of Years,Safety,4.00,3.00,4.67,5.00
6-10,Number of Years,Aware,3.64,5.96,5.64,2.61
6-10,Number of Years,Efficacy,3.89,4.36,4.61,4.29
6-10,Number of Years,Insurance,3.89,4.79,4.89,4.21
6-10,Number of Years,Safety,4.75,3.89,3.68,4.29
11-15,Number of Years,Aware,2.82,4.71,4.12,2.59
11-15,Number of Years,Efficacy,4.59,4.59,4.29,4.18
11-15,Number of Years,Insurance,3.65,4.88,4.24,3.29
11-15,Number of Years,Safety,4.35,3.88,3.76,4.47
16-20,Number of Years,Aware,2.78,5.83,5.89,2.33
16-20,Number of Years,Efficacy,4.17,5.28,3.72,4.56
16-20,Number of Years,Insurance,4.33,4.50,4.22,3.67
16-20,Number of Years,Safety,4.50,4.00,3.67,4.17
21-25,Number of Years,Aware,3.33,5.00,4.33,2.44
21-25,Number of Years,Efficacy,3.33,5.89,3.33,3.67
21-25,Number of Years,Insurance,4.22,6.00,4.78,5.00
21-25,Number of Years,Safety,3.56,3.11,4.33,3.11
26-30,Number of Years,Aware,3.33,5.00,4.67,1.67
26-30,Number of Years,Efficacy,1.83,5.00,2.67,4.33
26-30,Number of Years,Insurance,4.17,3.83,3.17,3.67
26-30,Number of Years,Safety,5.67,3.83,5.83,4.17
Affiliated teaching hospital,Practice Setting,Aware,2.30,3.90,4.10,2.90
Affiliated teaching hospital,Practice Setting,Efficacy,4.30,4.50,3.60,4.10
Affiliated teaching hospital,Practice Setting,Insurance,4.10,5.00,5.10,4.10
Affiliated teaching hospital,Practice Setting,Safety,5.00,4.70,4.20,4.20
Community hospital,Practice Setting,Aware,1.90,5.10,4.70,2.30
Community hospital,Practice Setting,Efficacy,4.00,4.40,4.20,3.30
Community hospital,Practice Setting,Insurance,3.70,4.10,4.00,3.70
Community hospital,Practice Setting,Safety,3.90,3.00,3.90,4.10
Major academic medical center,Practice Setting,Aware,2.92,5.67,5.50,2.75
Major academic medical center,Practice Setting,Efficacy,3.83,4.42,4.92,4.58
Major academic medical center,Practice Setting,Insurance,3.83,5.00,4.33,4.42
Major academic medical center,Practice Setting,Safety,4.33,4.00,3.83,3.83
Private practice (group),Practice Setting,Aware,3.60,5.83,5.55,2.31
Private practice (group),Practice Setting,Efficacy,3.71,5.07,3.83,4.40
Private practice (group),Practice Setting,Insurance,3.88,4.79,4.50,3.93
Private practice (group),Practice Setting,Safety,4.81,3.45,3.90,4.38
Private practice (solo),Practice Setting,Aware,4.00,5.00,3.83,3.00
Private practice (solo),Practice Setting,Efficacy,4.67,4.50,4.33,4.33
Private practice (solo),Practice Setting,Insurance,3.67,6.33,4.17,3.67
Private practice (solo),Practice Setting,Safety,3.50,5.50,4.33,3.67
VA / Military hospital / DoD,Practice Setting,Aware,2.00,7.00,5.00,2.00
VA / Military hospital / DoD,Practice Setting,Efficacy,5.00,4.00,7.00,3.00
VA / Military hospital / DoD,Practice Setting,Insurance,7.00,2.00,6.00,2.00
VA / Military hospital / DoD,Practice Setting,Safety,2.00,4.00,4.00,4.00
< 9,Total Patients,Aware,3.92,5.15,4.54,1.38
< 9,Total Patients,Efficacy,3.77,5.15,3.92,4.38
< 9,Total Patients,Insurance,4.08,5.15,4.00,4.15
< 9,Total Patients,Safety,5.31,3.46,4.38,3.92
10-19,Total Patients,Aware,3.10,5.61,5.42,2.19
10-19,Total Patients,Efficacy,3.90,4.58,4.32,4.13
10-19,Total Patients,Insurance,3.52,4.61,4.35,4.00
10-19,Total Patients,Safety,3.90,3.77,3.84,4.23
20-29,Total Patients,Aware,3.07,5.71,5.43,3.86
20-29,Total Patients,Efficacy,3.14,4.79,3.57,3.79
20-29,Total Patients,Insurance,3.71,4.64,4.50,3.93
20-29,Total Patients,Safety,4.57,3.50,3.50,4.14
30-39,Total Patients,Aware,2.88,5.63,4.75,2.75
30-39,Total Patients,Efficacy,4.38,4.63,4.00,3.50
